keyword,asin,url,ad,title,price,real_price,rating,prime_available
shirts,B0CNM4R13B,https://www.amazon.in/DEELMO-Geometric-Regular-MON321_CHIKU_Down-Round_Print_40_Beige/dp/B0CNM4R13B/ref=sr_1_1,False,Men's Cotton Blend Mandarin Collar Self One Design Full Sleeve Casual Short Kurta,494,"₹2,199",3.4 out of 5 stars,False
shirts,B0CYQ9RNP1,https://www.amazon.in/TAGDO-Regular-Casual-Shirt-Popcorn-5171-Cream-XL/dp/B0CYQ9RNP1/ref=sr_1_2,False,Men's Regular Fit Casual Shirt (5171),389,"₹1,599",4.0 out of 5 stars,False
shirts,B07DMYR49H,https://www.amazon.in/Allen-Solly-Plain-Casual-ASSFWMOFG80292_Olive_40/dp/B07DMYR49H/ref=sr_1_3,False,Men's Plain Slim Fit Shirt,679,"₹1,399",3.7 out of 5 stars,True
shirts,B0D77N88Q3,https://www.amazon.in/CB-COLEBROOK-Casual-Button-Fashion-Textured/dp/B0D77N88Q3/ref=sr_1_4,False,Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirts,499,"₹2,195",3.8 out of 5 stars,True
shirts,B0DKPCB5SY,https://www.amazon.in/U-TURN-Printed-Striped-Stylish-Skyblue-White/dp/B0DKPCB5SY/ref=sr_1_5,False,U-TURN Men's Cotton Casual Printed Striped Stylish Latest Shirt for Men,428,"₹1,598",3.7 out of 5 stars,False
shirts,B0CGLLYV2D,https://www.amazon.in/CB-COLEBROOK-Regular-Spread-Collar-X-Large/dp/B0CGLLYV2D/ref=sr_1_6,False,Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves,495,"₹1,849",3.8 out of 5 stars,False
shirts,B0CWTNN5R8,https://www.amazon.in/Pinkmint-Casual-Stylish-Regular-Sleeve/dp/B0CWTNN5R8/ref=sr_1_7,False,Casual Shirt for Men Stylish Men's Shirt Soild Regular Fit Long Sleeve Formal Wear Purple,399,"₹1,999",3.6 out of 5 stars,False
shirts,B0DJR9P1W1,https://www.amazon.in/TAGDO-Jacquard-Chain-Shirt-RF-Chain-JQRD-2020-White-XL/dp/B0DJR9P1W1/ref=sr_1_8,False,Men's Jacquard Chain Polo Shirt (2020),399,"₹1,599",4.4 out of 5 stars,False
shirts,B0DWS91WBK,https://www.amazon.in/Lymio-Shirt-Regular-Stylish-Tiedite-Blue-M/dp/B0DWS91WBK/ref=sr_1_9,False,Shirt for Men|| Regular Fit Shirt for Men|| Men Stylish Shirt (Tiedite-Shirt),449,"₹2,999",3.7 out of 5 stars,False
shirts,B087S7688N,https://www.amazon.in/Indian-Garage-Co-Shirt-0619-SH04-04/dp/B087S7688N/ref=sr_1_10,False,Men's Cotton Slim Fit Multi Striped Full Sleeves Cutaway Collar Casual Shirt,"550
.","₹1,749",3.7 out of 5 stars,True
shirts,B06Y2FG6R7,https://www.amazon.in/Allen-Solly-Regular-AMKP317G04249_Jet-Black_Large/dp/B06Y2FG6R7/ref=sr_1_11,False,Men's Cotton Regular Fit Polo T-Shirt,699,"₹1,099",4.0 out of 5 stars,True
shirts,B0CRHRGYB1,https://www.amazon.in/Peter-England-Mens-Shirt-PESFWSLPY14322_Blue/dp/B0CRHRGYB1/ref=sr_1_12,False,Men's Solid Slim Fit Shirt,"1,000","₹1,599",4.1 out of 5 stars,True
shirts,B0B4PCWTG1,https://www.amazon.in/Allen-Solly-Fitted-Shirt-ASSFQMOP403092_Blue/dp/B0B4PCWTG1/ref=sr_1_13,False,Men's 100% Cotton Regular Fit Shirt,899,"₹1,699",3.8 out of 5 stars,True
shirts,B0CK6KJNZG,https://www.amazon.in/Majestic-Man-Classic-Cotton-Casual/dp/B0CK6KJNZG/ref=sr_1_14,False,Men Classic Slim Fit Pure Cotton Casual Shirt,499,"₹1,499",3.9 out of 5 stars,True
shirts,B0DFWY6KWC,https://www.amazon.in/FINIVO-FASHION-Textured-Shirts-Stylish/dp/B0DFWY6KWC/ref=sr_1_15,False,Men's Casual Cotton Plain Button Down Shirt Long Sleeve Textured Summer Beach Shirt for Men,499,"₹1,499",4.2 out of 5 stars,True
shirts,B0DF2FSDGV,https://www.amazon.in/GRECIILOOKS-Stylish-Textured-Regular-GL-MS-6249_Blue/dp/B0DF2FSDGV/ref=sr_1_16,False,Shirt for Men | Mens Casual Shirt's | Men's Regular Fit Stylish | Printed | Man's Solid Slim Fit | Short Sleeve | Trendy (Available in Plus Size and Combo Pack of 2),399,"₹1,999",4.2 out of 5 stars,False
shirts,B0CRPHHM7S,https://www.amazon.in/Lymio-Casual-Stylish-Rib-Shirt-Khakhi/dp/B0CRPHHM7S/ref=sr_1_17,False,Casual Regular Fit Shirt for Men|| Regular Fit Shirt for Men|| Men Stylish Regular Fit Shirt (Rib-Regular Fit Shirt),449,"₹3,999",3.6 out of 5 stars,False
shirts,B0CLZZCQGZ,https://www.amazon.in/Leriya-Fashion-Textured-Shirts-Stylish/dp/B0CLZZCQGZ/ref=sr_1_18,False,Men's Formal Button Down Shirt – Slim Fit Office Wear Shirt's for Men | Textured Long Sleeve Cotton Blend | Business & Meeting Ready (Available in Plus Size and Combo Pack of 2),429,"₹1,999",3.8 out of 5 stars,False
shirts,B0F12J4XS7,https://www.amazon.in/Regular-Popcorn-Casual-Shirt-Coffee/dp/B0F12J4XS7/ref=sr_1_19,False,Men's Regular Fit Poly Popcorn Casual Shirt,349,₹999,3.6 out of 5 stars,True
shirts,B0CW1TZ4X3,https://www.amazon.in/Pinkmint-Sleeve-Button-Collared-Casual/dp/B0CW1TZ4X3/ref=sr_1_20,False,Men's Regular Fit Soft Cotton Blend Casual Combo Shirt with Pocket Design & Spread Collar Full Sleeves Formal Shirt,399,"₹1,999",3.6 out of 5 stars,False
shirts,B0DHZPFM4K,https://www.amazon.in/Urbano-Fashion-Cotton-Regular-shirtsolreg-01-white-m/dp/B0DHZPFM4K/ref=sr_1_21,False,Men's Cotton Full Sleeve Regular Fit Casual Solid Shirt,623,"₹1,599",3.7 out of 5 stars,True
shirts,B08FS1F2P6,https://www.amazon.in/Van-Heusen-Sport-Casual-VSSFLSLB674921_White/dp/B08FS1F2P6/ref=sr_1_22,False,Men's Cotton Slim Fit Solid Casual Shirt,"1,499",NA,3.7 out of 5 stars,True
shirts,B0CYGL2PX2,https://www.amazon.in/IndoPrimo-Regular-Double-Pocket-Sleeves/dp/B0CYGL2PX2/ref=sr_1_23,False,Men's Regular Fit Fancy Double Pocket Casual Shirt for Men Full Sleeves - Cargo,499,"₹1,999",4.0 out of 5 stars,True
shirts,B081QJW5GG,https://www.amazon.in/Amazon-Brand-Symbol-Regular-SS20-SYM-FS-01_EPP-1A_White/dp/B081QJW5GG/ref=sr_1_24,False,Men's Solid Cotton Formal Shirt | Plain | Full Sleeve - Regular Fit (Available in Plus Size and Combo Packs),599,"₹1,599",4.0 out of 5 stars,True
